episode,speakers,utterances,emotions,cleaned_utterances,hindi_utterances,english_utterances
roseshantstobeadopted.wmv,maya,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust,kya kya bhar ke rakha hai indravadan ne ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte,क्य क्य भर् के रख है इन्द्रवदन् ने इस् घर् मेइन् इन्द्रवदन् प्लेअसे तुम् सरि बेकर् कि चिजेन् बहर् क्योन् नहिन् फ़ेक्ते?,"What does Indravadan keep in the house? Indravadan please, why didn't you throw away all the useless things?"
roseshantstobeadopted.wmv,indu,"ok, chalo rosesh chalo bahar",contempt,ok chalo rosesh chalo bahar,"ओक्, चलो रोसेश् चलो बहर्","ok, let's rise, let's spring"
roseshantstobeadopted.wmv,rosesh,momma! hath chhodiye dad!,anger,momma hath chhodiye dad,मोम्म! हथ् छोदिये दद्!,Momma! Hath Chodiye Dad!
roseshantstobeadopted.wmv,indu,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral,dekho maya ya na bol raha hai fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho chalo,"देखो मय य न बोल् रह है! फ़िर् तुम् हि कहोगि फ़ल्तु चिजेन् जम कर्ते हो फ़ेक्ते नहिन् हो, चलो","Look Maya or I am not speaking! Then you will say that you are not throwing the wrong things, come on."
roseshantstobeadopted.wmv,maya,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral,indravadan tum kitne salo se ye joke maar rahe ho koi hota hai aaj tak,"इन्द्रवदन्, तुम् कित्ने सलो से ये जोके मार् रहे हो। कोइ होत है आज् तक्?","Indravadan, for how many years have you been telling this joke? What is happening today?"
roseshantstobeadopted.wmv,indu,kaikai pe joke maroge to manthra thodi na hasegi,contempt,kaikai pe joke maroge manthra thodi na hasegi,कैकै पे जोके मरोगे तो मन्थ्र थोदि न हसेगि,joke on kaikai
roseshantstobeadopted.wmv,rosesh,very funny,contempt,funny,वेर्य् फ़ुन्न्य्,very funny
roseshantstobeadopted.wmv,indu,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral,maya monisha aur sahil aa rahe hain dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain,"मय, मोनिश और् सहिल् आ रहे हैन्, देख्न यहि जो उन् पेर् इस्तेमल् कर्त हुन् और् देख्न वह् कित्न हस्ते हैन्","Maya, Monisha and Sahil are here, see what they are using and see how much they have done."
roseshantstobeadopted.wmv,sahil,hi guys,joy,hi guy,हि गुय्स्,hi guys
roseshantstobeadopted.wmv,rosesh,hi,joy,hi,हि,hi
roseshantstobeadopted.wmv,maya,"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral,hi darling achcha indravadan please ya kachra bahar fenko,"हि दर्लिन्ग्। अच्च इन्द्रवदन्, प्लेअसे य कच्र बहर् फ़ेन्को!","hi darling. achcha indravadan, please throw away this garbage!"
roseshantstobeadopted.wmv,indu,"ok maya, chalo rosesh tumhen bahar fenk au",neutral,ok maya chalo rosesh tumhen bahar fenk au,"ओक् मय, चलो रोसेश् तुम्हेन् बहर् फ़ेन्क् औ","ok maya, let's throw roses at you"
roseshantstobeadopted.wmv,sahil,mom! diwali ka lunch hamare ghar pe,joy,mom diwali ka lunch hamare ghar pe,मोम्! दिवलि क लुन्च् हमरे घर् पे,Mom! Diwali lunch at our house
roseshantstobeadopted.wmv,monish,aur mein khana fresh banane wali hun,joy,aur mein khana fresh banane wali hun,और् मेइन् खन फ़्रेश् बनने वलि हुन्,And I have made fresh food.
roseshantstobeadopted.wmv,maya,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral,rest case indravadan hase donon huh achcha ab please kachra bahar fenk,"इ रेस्त् म्य् चसे इन्द्रवदन्। हसे दोनोन्, हुह्? अच्च अब् तो प्लेअसे कच्र बहर् फ़ेन्क् दो","i rest my case indravadan. Hase Donon, huh? achcha ab to please throw away the garbage"
roseshantstobeadopted.wmv,indu,"ok maya, chalo monisha tumhe bahar fenk aau",neutral,ok maya chalo monisha tumhe bahar fenk aau,"ओक् मय, चलो मोनिश तुम्हे बहर् फ़ेन्क् आउ","ok maya, come on monisha let me throw you bahar"
roseshantstobeadopted.wmv,maya,"ha ha ha, indravadan you are so funny",joy,ha ha ha indravadan funny,"ह ह ह, इन्द्रवदन् योउ अरे सो फ़ुन्न्य्","ha ha ha, indravadan you are so funny"
roseshantstobeadopted.wmv,indu,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral,haila sahil tumhare diwali lunch per hai na maiya ko keede makode aur mukhiya khilana,"हैल, सहिल्! तुम्हरे दिवलि लुन्च् पेर् है न मैय को कीदे, मकोदे और् मुखिय खिलन","Haila, shore! It's your Diwali lunch, don't you feed your mother, cook and feed the chief?"
roseshantstobeadopted.wmv,indu,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt,kyunki jab maine wahi joke rosesh pe mara bilkul nahin hasi lekin vahi joke jab maine monisha per mara dekho kaise rahi hai,क्युन्कि जब् मैने वहि जोके रोसेश् पे मर तो बिल्कुल् नहिन् हसि लेकिन् वहि जोके जब् मैने मोनिश पेर् मर तो देखो कैसे हस् रहि है!,"Because whenever I made a joke on Rosesh, it didn't hurt at all, but when I made a joke on Monisha, see how it was!"
roseshantstobeadopted.wmv,maya,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral,acha cut huh indravadan rosesh sweety tumhi nikalo na sara kachra bahar,अच नोव् चुत् इत् ओउत् हुह् इन्द्रवदन्। रोसेश् स्वीत्य् तुम्हि निकलो न सर कच्र बहर्,acha now cut it out huh indravadan. rosesh sweety take out all the garbage out of you
roseshantstobeadopted.wmv,rosesh,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy,ok chaliye dad mein aapko bahar fenk kar aata hun,"ओक् चलिये दद्, मेइन् आप्को बहर् फ़ेन्क् कर् आत हुन्!","Ok let's go dad, I have come after throwing you away!"
roseshantstobeadopted.wmv,maya,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt,haha asked one sahil darling tumhi madad kar please meri mera ghar ekadam monisha ka ghar ban gaya hai,"हह, योउ अस्केद् फ़ोर् थत् ओने। सहिल् दर्लिन्ग् तुम्हि मदद् कर् दो प्लेअसे मेरि। मेर घर् तो एकदम् मोनिश क घर् बन् गय है!","haha, you asked for that one. Sahil darling please help me. My house has become Monisha's house after all!"
roseshantstobeadopted.wmv,maya,rosesh beta happy diwali!,joy,rosesh beta happy diwali,रोसेश् बेत हप्प्य् दिवलि!,rosesh beta happy diwali!
roseshantstobeadopted.wmv,rosesh,you bet momma.,neutral,bet momma,योउ बेत् मोम्म।,you bet momma.
