episode,speakers,utterances,emotions
roseshantstobeadopted.wmv,maya,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,disgust
roseshantstobeadopted.wmv,indu,"ok, chalo rosesh chalo bahar",contempt
roseshantstobeadopted.wmv,rosesh,momma! hath chhodiye dad!,anger
roseshantstobeadopted.wmv,indu,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",neutral
roseshantstobeadopted.wmv,maya,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",neutral
roseshantstobeadopted.wmv,indu,kaikai pe joke maroge to manthra thodi na hasegi,contempt
roseshantstobeadopted.wmv,rosesh,very funny,contempt
roseshantstobeadopted.wmv,indu,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",neutral
roseshantstobeadopted.wmv,sahil,hi guys,joy
roseshantstobeadopted.wmv,rosesh,hi,joy
roseshantstobeadopted.wmv,maya,"hi darling. achcha indravadan, please ya kachra bahar fenko!",neutral
roseshantstobeadopted.wmv,indu,"ok maya, chalo rosesh tumhen bahar fenk au",neutral
roseshantstobeadopted.wmv,sahil,mom! diwali ka lunch hamare ghar pe,joy
roseshantstobeadopted.wmv,monish,aur mein khana fresh banane wali hun,joy
roseshantstobeadopted.wmv,maya,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",neutral
roseshantstobeadopted.wmv,indu,"ok maya, chalo monisha tumhe bahar fenk aau",neutral
roseshantstobeadopted.wmv,maya,"ha ha ha, indravadan you are so funny",joy
roseshantstobeadopted.wmv,indu,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",neutral
roseshantstobeadopted.wmv,indu,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,contempt
roseshantstobeadopted.wmv,maya,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,neutral
roseshantstobeadopted.wmv,rosesh,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",joy
roseshantstobeadopted.wmv,maya,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",contempt
roseshantstobeadopted.wmv,maya,rosesh beta happy diwali!,joy
roseshantstobeadopted.wmv,rosesh,you bet momma.,neutral
roseshantstobeadopted.wmv,indu,"rosesh bete, diwali mubarak ho!",joy
roseshantstobeadopted.wmv,rosesh,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",sadness
roseshantstobeadopted.wmv,maya,how can you say that rosesh?,neutral
roseshantstobeadopted.wmv,maya,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,joy
roseshantstobeadopted.wmv,indu,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",neutral
roseshantstobeadopted.wmv,maya,meri cesarean delivery hui thi indravadan!,neutral
roseshantstobeadopted.wmv,rosesh,aur mithaai kaun si bati thi?,neutral
roseshantstobeadopted.wmv,indu,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,neutral
roseshantstobeadopted.wmv,maya,dry fruits ke boxes baate the indravadan!,neutral
roseshantstobeadopted.wmv,indu,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",neutral
roseshantstobeadopted.wmv,rosesh,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",sadness
roseshantstobeadopted.wmv,monisha,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",joy
roseshantstobeadopted.wmv,maya,jaisa laga so laga tumhen achcha laga na?,contempt
roseshantstobeadopted.wmv,monisha,haan.,joy
roseshantstobeadopted.wmv,maya,to tang do kahin bhi,neutral
roseshantstobeadopted.wmv,monisha,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",joy
roseshantstobeadopted.wmv,maya,yah plastic ke stickers tumne kahan se khariden?,contempt
