episode,speakers,utterances,emotions
roseshantstobeadopted.wmv,good rosesh,ye kya kar raha hai rosesh? bharat tera desh! bhartiya insan hai saccha. kisi ka khat padhna nahin hai achcha.,neutral
roseshantstobeadopted.wmv,bad rosesh,"hahaha khat padh le rosesh baby or padhne de hamen bhi. kitna achcha lagta hai balon mein gel, ding dong bell.",neutral
roseshantstobeadopted.wmv,good rosesh,"kavita acchi hai lekin khayal achcha nahin hai, villain rosesh. momma ne kaha hai kisi aur ka khat padhna galat baat hai",neutral
roseshantstobeadopted.wmv,bad rosesh,"galat hai, par momma ne tumse kaha tha ki do bar brush karna aur tumne sirf ek bar kiya tha kya vah galat nahin tha?",contempt
roseshantstobeadopted.wmv,good rosesh,galat tha per,neutral
roseshantstobeadopted.wmv,bad rosesh,momma ne tumse jab green chatni mangi thi aur tumne red pass ki thi kya vah galat nahin tha?,contempt
roseshantstobeadopted.wmv,good rosesh,wo to galat tha,neutral
roseshantstobeadopted.wmv,bad rosesh,pichhle sal momma ki nayi hair style ostrich jesi thi aur tumne unhen apsara kaha tha kya vah galat nahin tha?,contempt
roseshantstobeadopted.wmv,good rosesh,han tha tha tha!,neutral
roseshantstobeadopted.wmv,rosesh,"please please please, tum log jara sophisticated argument karo na varna momma kahenge ki meri antaratma bahut middle class hai. tum log decide kar lo tab tak main yah lifafa khol ke padh leta hun.",neutral
roseshantstobeadopted.wmv,rosesh,"""my darling husband indravadan"" yah to momma ki handwriting hai...",neutral
roseshantstobeadopted.wmv,maya,"darling i know ki ham do hamare do is so middle class. isiliye to humne teesra bachcha plan kiya tha haina? lekin present circumstances ko dekh ke i am not so sure. is topic pe main tumse baat nahin kar sakti isiliye khat likh rahi hun, but kya hamen sachmuch mein yah teesra baccha. i am so confused indravadan",sadness
roseshantstobeadopted.wmv,rosesh,momma...,sadness
video1.wmv,kismi,excuse me,neutral
video1.wmv,rosesh,kaun hai kaun hai?,fear
video1.wmv,kismi,mai kismi,neutral
video1.wmv,rosesh,kis meethi raat gaye,neutral
video1.wmv,kismi,han vah sorry aapko disturb kiya so rahe the aap,neutral
video1.wmv,rosesh,nahin bus thodi si nind aa gai thi. sorry han ,joy
video1.wmv,kismi,sorry kya. baje raat ke 3:30 baje hain. sabko hi nind aati hai. bus mujhe hi nind nahin aati hai,sadness
video1.wmv,rosesh,kismi don't cry. try counting sheep,neutral
video1.wmv,kismi,kya?,neutral
video1.wmv,rosesh,man mein bed bakriyan gino,neutral
video1.wmv,kismi,"ab tak 16,824 bed bakri gin chauki mein. apne jaitpur gaon ki",sadness
video1.wmv,rosesh,toh?,neutral
video1.wmv,kismi,toh octroi wale aaye mere man mein sawal karne lage. itni sari bade bakriyan lai ho to unka octroi kyon nahin bhara,neutral
video1.wmv,rosesh,kismi mujhe lagta hai ki tum jyada hi imaginative ho,joy
video1.wmv,kismi,nahin re nahin imaginative hoti to train ki dhad dhad imagine nahin kar leti main. mujhe na train ki awaaz sunkar hi sone ki aadat hai. aapko koi aisi aadat hai,neutral
video1.wmv,rosesh,bahut pahle ek buri aadat ki,neutral
video1.wmv,kismi,kya?,neutral
video1.wmv,rosesh,angutha chusne ki,neutral
video1.wmv,kismi,angutha chusne ki aadat buri kaise hovi?,surprise
video1.wmv,rosesh,pair ka,neutral
video1.wmv,kismi,ahan,neutral
video1.wmv,rosesh,pair ulta karke i'll show you. yeh aese. aaaa. aaaa,sadness
video1.wmv,kismi,kya hua rosesh kya hua?,fear
video1.wmv,rosesh,nass pe nass chad gayi! my back,sadness
video1.wmv,kismi,ek minute ek minute. hilna mat hilna mat hilna mat. ruko ruko. yeh yah yahan dukh raha hai,neutral
video1.wmv,rosesh,momma,sadness
video1.wmv,kismi,shhh. shanti shanti ek minute 1 2 3,neutral
video1.wmv,rosesh,dard chala gaya kismi,joy
video1.wmv,kismi,han,joy
video1.wmv,rosesh,you are amazing,joy
video1.wmv,kismi,vah kya hai na mere mama ki na cycle repair karne ki dukaan hai,joy
video1.wmv,rosesh,toh?,neutral
