episode,speakers,utterances,emotions,cleaned_utterances,hindi_utterances,english_utterances
roseshantstobeadopted.wmv,good rosesh,ye kya kar raha hai rosesh? bharat tera desh! bhartiya insan hai saccha. kisi ka khat padhna nahin hai achcha.,neutral,ye kya kar raha hai rosesh bharat tera desh bhartiya insan hai saccha kisi ka khat padhna nahin hai achcha,ये क्य कर् रह है रोसेश्? भरत् तेर देश्! भर्तिय इन्सन् है सच्च। किसि क खत् पध्न नहिन् है अच्च।,What are you doing Rosesh? India is your country! Bhartiya is a true human being. It is better not to read anyone's letter.
roseshantstobeadopted.wmv,bad rosesh,"hahaha khat padh le rosesh baby or padhne de hamen bhi. kitna achcha lagta hai balon mein gel, ding dong bell.",neutral,hahaha khat padh le rosesh baby padhne de haman bhi kitna achcha lagta hai balon mein gel ding dong bell,"हहह खत् पध् ले रोसेश् बब्य् ओर् पध्ने दे हमेन् भि। कित्न अच्च लग्त है बलोन् मेइन् गेल्, दिन्ग् दोन्ग् बेल्ल्।","hahaha read the book rosesh baby or read the book also. How nice looks the gel in the balloon, ding dong bell."
roseshantstobeadopted.wmv,good rosesh,"kavita acchi hai lekin khayal achcha nahin hai, villain rosesh. momma ne kaha hai kisi aur ka khat padhna galat baat hai",neutral,kavita acchi hai lekin khayal achcha nahin hai villain rosesh momma ne kaha hai kisi aur ka khat padhna galat baat hai,"कवित अच्चि है लेकिन् खयल् अच्च नहिन् है, विल्लैन् रोसेश्। मोम्म ने कह है किसि और् क खत् पध्न गलत् बात् है","Poetry is good but thought is not good, villain Rosesh. Momma said it is wrong to read someone else's letter."
roseshantstobeadopted.wmv,bad rosesh,"galat hai, par momma ne tumse kaha tha ki do bar brush karna aur tumne sirf ek bar kiya tha kya vah galat nahin tha?",contempt,galat hai par momma ne tumse kaha tha ki bar brush karna aur tumne sirf ek bar kiya tha kya vah galat nahin tha,"गलत् है, पर् मोम्म ने तुम्से कह थ कि दो बर् ब्रुश् कर्न और् तुम्ने सिर्फ़् एक् बर् किय थ क्य वह् गलत् नहिन् थ?","It's wrong, but mom told you to brush twice and you only did it once, wasn't that wrong?"
roseshantstobeadopted.wmv,good rosesh,galat tha per,neutral,galat tha per,गलत् थ पेर्,galat tha per
roseshantstobeadopted.wmv,bad rosesh,momma ne tumse jab green chatni mangi thi aur tumne red pass ki thi kya vah galat nahin tha?,contempt,momma ne tumse jab green chatni mangi thi aur tumne red pas ki thi kya vah galat nahin tha,मोम्म ने तुम्से जब् ग्रीन् चत्नि मन्गि थि और् तुम्ने रेद् पस्स् कि थि क्य वह् गलत् नहिन् थ?,Wasn't it wrong when momma asked you for green chatni and you passed red?
roseshantstobeadopted.wmv,good rosesh,wo to galat tha,neutral,wo galat tha,वो तो गलत् थ,wo to galat tha
roseshantstobeadopted.wmv,bad rosesh,pichhle sal momma ki nayi hair style ostrich jesi thi aur tumne unhen apsara kaha tha kya vah galat nahin tha?,contempt,pichhle sal momma ki nayi hair style ostrich jesi thi aur tumne unhen apsara kaha tha kya vah galat nahin tha,पिछ्ले सल् मोम्म कि नयि हैर् स्त्य्ले ओस्त्रिच् जेसि थि और् तुम्ने उन्हेन् अप्सर कह थ क्य वह् गलत् नहिन् थ?,"Last year mom's new hair style was like an ostrich and you called her a nymph, wasn't that wrong?"
roseshantstobeadopted.wmv,good rosesh,han tha tha tha!,neutral,han tha tha tha,हन् थ थ थ!,han tha tha tha!
roseshantstobeadopted.wmv,rosesh,"please please please, tum log jara sophisticated argument karo na varna momma kahenge ki meri antaratma bahut middle class hai. tum log decide kar lo tab tak main yah lifafa khol ke padh leta hun.",neutral,please please please tum log jara sophisticated argument karo na varna momma kahenge ki meri antaratma bahut middle class hai tum log decide kar lo tab tak main yah lifafa khol ke padh leta hun,"प्लेअसे प्लेअसे प्लेअसे, तुम् लोग् जर सोफिस्तिचतेद् अर्गुमेन्त् करो न वर्न मोम्म कहेन्गे कि मेरि अन्तरत्म बहुत् मिद्द्ले च्लस्स् है। तुम् लोग् देचिदे कर् लो तब् तक् मैन् यह् लिफ़फ़ खोल् के पध् लेत हुन्।","Please please please, please log in with sophisticated argument otherwise mom will say that I am very middle class. You decide then I will open this envelope and read it."
